"카테고리","비교항목","JMeter","nGrinder","k6","판단 메모"
"현재 상태","공식 최신 상태","5.6.3","GitHub 최신 릴리스 3.5.9-p1, 저장소는 2025-09-24 archive","공식 문서 최신 브랜치 v1.7.x, 릴리스 노트 v1.7.1","nGrinder는 신규 도입 시 유지보수 리스크를 별도 검토해야 함"
"작성 방식","기본 사용자 경험","GUI 중심 Test Plan + 필요 시 스크립트","웹 UI + Controller-Agent + Groovy/Jython 스크립트","JavaScript/TypeScript 코드 중심","개발팀 협업에는 k6가 가장 유리"
"강점","핵심 장점","폭넓은 프로토콜 지원, 레코딩, HTML 리포트","중앙집중형 운영, 다중 에이전트, 결과 관리","CI/CD 적합성, Threshold, 코드 리뷰, 현대 API 테스트","조직 성격에 따라 장점이 갈림"
"프로토콜","지원 범위","HTTP/HTTPS, SOAP/REST, FTP, JDBC, LDAP, JMS, Mail, TCP 등","HTTP 중심, 필요 시 라이브러리 확장","HTTP/2, WebSocket, gRPC, TLS, Browser","프로토콜 다양성은 JMeter가 우세"
"브라우저","브라우저 수준 시나리오","브라우저가 아니라 프로토콜 레벨 도구","핵심 강점 아님","k6/browser 제공","프론트엔드 사용자 흐름은 k6가 상대적으로 유리"
"분산 실행","확장 구조","Remote/Distributed Testing 가능","Controller-Agent 구조가 기본","OSS는 별도 운영 구성이 필요, Cloud는 관리형 제공","사내 운영 플랫폼은 nGrinder가 직관적"
"리포팅","결과 분석","HTML Dashboard와 플러그인 생태계","웹 UI 기반 모니터링과 결과 관리","Threshold, 실시간 출력, Grafana 연계","관찰성과 대시보드 연동은 k6가 강함"
"협업","버전관리 친화성","GUI 산출물 diff/merge는 불리","중앙 저장/운영에는 강점","텍스트 코드라 Git diff/PR에 최적","장기 협업 자산은 k6가 가장 관리 쉬움"
"CI/CD","자동화 적합성","가능하지만 GUI 자산이 누적되면 불리","가능하지만 조직형 운영 도구 성격","가장 적합","신규 파이프라인 표준은 k6 우세"
"러닝 커브","입문 난이도","초반 진입 쉬움","설치와 운영 구조 학습 필요","개발자에게는 쉬우나 비개발자에겐 코드 장벽","사용자군에 따라 체감이 다름"
"장기 유지보수","표준화 적합성","공통 표준으로 적합하나 자산이 커지면 관리 기준 필요","신규 표준 후보로는 리스크 큼","전략 특화 축으로 유지보수 친화적","공통 표준은 JMeter, 전략 특화는 k6"
"검증 상태","현재 자산 검증 수준","문서/자산/하네스 검증 완료","Docker Desktop Compose 기동, Controller HTTP 200, Agent 연결 로그 확인","NKS k6 Operator 4.3.2, CRD, no-op TestRun, server dry-run 확인","세 도구의 검증 수준은 동일하지 않으므로 보고서에서 구분"
"남은 검증","실제 대상 부하 실행","클라우드 VM 설치와 단일/분산 smoke 필요","클라우드 VM 배포와 Controller UI smoke 필요","실제 BASE_URL/Secret/payload 기반 API/browser smoke 필요","대상 시스템 부하 실행은 프로젝트별 승인 후 수행"
"추천","권장 포지션","공통 표준 도구","기존 자산 활용 시 조건부 검토","전략 특화 도구","PoC는 목적별로 JMeter/k6/nGrinder를 분리"
